pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
Kepler-318 c,Kepler-318,1,2,Transit,2014,Kepler,,11.81500266,0.10515,4.135,0,211.78,973,5903,0.98,1.08,298.4828337,46.7936357,489.141
Kepler-319 b,Kepler-319,1,3,Transit,2014,Kepler,,4.362744155,0.0549,2.355,0,1035.22,1447,5599,0.9,0.99,288.8119782,39.7706431,503.436
Kepler-319 c,Kepler-319,1,3,Transit,2014,Kepler,,6.941358745,0.07435,4.09,0,558.39,1240,5599,0.9,0.99,288.8119782,39.7706431,503.436
Kepler-319 d,Kepler-319,1,3,Transit,2014,Kepler,,31.78209253,0.20555,3.295,0,73.38,746,5599,0.9,0.99,288.8119782,39.7706431,503.436
Kepler-320 b,Kepler-320,1,2,Transit,2014,Kepler,,8.37160502,0.083,1.14,0,237.52,1001,6412,1.19,1.1,293.2135155,46.1751457,826.613
Kepler-320 c,Kepler-320,1,2,Transit,2014,Kepler,,17.9346563,0.1379,1.41,0,86.04,777,6412,1.27,1.12,293.2135155,46.1751457,826.613
Kepler-321 b,Kepler-321,1,2,Transit,2014,Kepler,,4.91538643,0.05735,1.68,0,366.09,1116,5762.08,0.99,1.03,294.4536991,44.1457626,384.542
Kepler-321 c,Kepler-321,1,2,Transit,2014,Kepler,,13.09390711,0.11045,2.24,0,99.1,805,5762.08,0.99,1.03,294.4536991,44.1457626,384.542
Kepler-322 b,Kepler-322,1,2,Transit,2014,Kepler,,1.65389346,0.02535,0.965,0,915.4,1403,5425,0.84,0.89,281.3487514,44.2952525,400.48
Kepler-322 c,Kepler-322,1,2,Transit,2014,Kepler,,4.33722404,0.04855,1.61,0,251.75,1016,5414,0.84,0.9,281.3487514,44.2952525,400.48
Kepler-323 b,Kepler-323,1,2,Transit,2014,Kepler,,1.6783263,0.0288,1.6325,0,2540.375,1915,6015,1.17,1.105,291.3822988,38.1274595,454.883
Kepler-323 c,Kepler-323,1,2,Transit,2014,Kepler,,3.55382967,0.0474,1.7745,0,937.12,1492,6009.5,1.16,1.09,291.3822988,38.1274595,454.883
Kepler-324 b,Kepler-324,1,4,Transit,2014,Kepler,,4.38536461,0.0503,1.125,0,185.34,941,5244,0.83,0.89,286.4714473,49.6490933,501.574
Kepler-324 c,Kepler-324,1,4,Transit,2014,Kepler,,51.8096695,0.2612,3.2,0,6.89,413,5244,0.83,0.89,286.4714473,49.6490933,501.574
Kepler-325 b,Kepler-325,1,3,Transit,2014,Kepler,,4.54443777,0.05185,2.94,0,352.71,1105,5585.15,0.94,0.92,289.8354219,49.825607,823.242
Kepler-325 c,Kepler-325,1,3,Transit,2014,Kepler,,12.76221346,0.10345,3.075,0,89.04,783,5585.15,0.94,0.92,289.8354219,49.825607,823.242
Kepler-325 d,Kepler-325,1,3,Transit,2014,Kepler,,38.71487948,0.2168,2.795,0,20.26,541,5585.15,0.94,0.92,289.8354219,49.825607,823.242
Kepler-326 b,Kepler-326,1,3,Transit,2014,Kepler,,2.24828854,0.0329,2.55,0,1524.71,1594,5179.81,1.065,0.895,294.3255898,46.0022646,487.675
Kepler-326 c,Kepler-326,1,3,Transit,2014,Kepler,,4.58033862,0.0524,2.79,0,591.98,1258,5179.81,1.065,0.895,294.3255898,46.0022646,487.675
Kepler-326 d,Kepler-326,1,3,Transit,2014,Kepler,,6.76690759,0.06825,2.41,0,351.72,1104,5179.81,1.065,0.895,294.3255898,46.0022646,487.675
Kepler-327 b,Kepler-327,1,3,Transit,2014,Kepler,,2.5495633,0.029,1.3,0,53.765,690,3818,0.54,0.57,292.6422963,44.0876251,241.987
Kepler-327 c,Kepler-327,1,3,Transit,2014,Kepler,,5.21231585,0.04685,1.181,0,20.725,544,3818,0.54,0.57,292.6422963,44.0876251,241.987
Kepler-327 d,Kepler-327,1,3,Transit,2014,Kepler,,13.96948245,0.0901,1.92,0,5.57,392,3818,0.53,0.56,292.6422963,44.0876251,241.987
Kepler-329 b,Kepler-329,1,2,Transit,2014,Kepler,,7.41634311,0.06055,1.4,0,19.345,522,4156,0.56,0.57,299.2681646,45.2272852,439.719
Kepler-329 c,Kepler-329,1,2,Transit,2014,Kepler,,18.6848057,0.1122,2.06,0,5.64,384,4188.5,0.565,0.585,299.2681646,45.2272852,439.719
Kepler-330 b,Kepler-330,1,2,Transit,2014,Kepler,,8.25981532,0.0748,1.315,0,60.12,710,5063,0.75,0.82,288.4474035,44.8017616,717.527
Kepler-330 c,Kepler-330,1,2,Transit,2014,Kepler,,15.95545002,0.116,2.195,0,25,570,5033,0.76,0.82,288.4474035,44.8017616,717.527
Kepler-331 b,Kepler-331,1,3,Transit,2014,Kepler,,8.45747483,0.066,1.99,0,19.88,538,4347,0.58,0.65,291.8343455,39.3073462,580.119
Kepler-331 c,Kepler-331,1,3,Transit,2014,Kepler,,17.2811521,0.1063,2.05,0,7.66,424,4347,0.58,0.65,291.8343455,39.3073462,580.119
Kepler-331 d,Kepler-331,1,3,Transit,2014,Kepler,,32.1340737,0.1607,1.92,0,3.35,345,4347,0.58,0.65,291.8343455,39.3073462,580.119
Kepler-332 b,Kepler-332,1,3,Transit,2014,Kepler,,7.62634063,0.07025,1.305,0,93.25,792,4955,0.72,0.8,286.6627811,47.4136938,344.19
Kepler-332 c,Kepler-332,1,3,Transit,2014,Kepler,,15.9956114,0.1155,1.13,0,34.74,619,4955,0.72,0.8,286.6627811,47.4136938,344.19
Kepler-332 d,Kepler-332,1,3,Transit,2014,Kepler,,34.2113054,0.1917,1.21,0,12.61,481,4955,0.72,0.8,286.6627811,47.4136938,344.19
Kepler-333 b,Kepler-333,2,2,Transit,2014,Kepler,,12.55109333,0.0889,1.46,0,12.04,470,4236,0.62,0.66,292.2861201,40.9135429,324.413
Kepler-333 c,Kepler-333,2,2,Transit,2014,Kepler,,24.0882568,0.1373,1.2,0,5.045,378,4236,0.62,0.66,292.2861201,40.9135429,324.413
Kepler-334 b,Kepler-334,1,3,Transit,2014,Kepler,,5.47033535,0.06,1.0745,0,286.03,1049,5866,1.02,1.06,287.1406177,47.1151153,426.59
Kepler-334 c,Kepler-334,1,3,Transit,2014,Kepler,,12.75802153,0.1055,1.4005,0,92.52,791,5866,1.02,1.06,287.1406177,47.1151153,426.59
Kepler-334 d,Kepler-334,1,3,Transit,2014,Kepler,,25.09852429,0.1656,1.4345,0,37.55,631,5866,1.02,1.06,287.1406177,47.1151153,426.59
Kepler-335 b,Kepler-335,1,2,Transit,2014,Kepler,,6.562261055,0.0691,2.38,0,211.43,972,5932,1.81,1.08,296.0642944,45.4285986,1278.97
Kepler-335 c,Kepler-335,1,2,Transit,2014,Kepler,,67.8450771,0.3277,2.65,0,9.4,447,5932,1.81,1.08,296.0642944,45.4285986,1278.97
Kepler-336 b,Kepler-336,1,3,Transit,2014,Kepler,,2.0248205,0.03135,0.92,0,938.74,1412,5956.94,0.96,1,290.2376224,41.3313637,768.86
